shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_shift,correction_order,reference_value,corrected_value,rel_error,dense_q_matrix_stored
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.24545906446824048,-0.24497437249025375,0.001974634666830331,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.24545906446824048,-0.24545904755910242,6.888781271366735e-08,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.24545906446824048,-0.24545906446766744,2.3345710023042126e-12,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.24545906446824048,-0.24545906446823995,2.148447594874554e-15,False
circle,baseline,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,-0.24545906446824048,-0.24545906446823995,2.148447594874554e-15,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,15.530787575726727,15.532040217969001,8.065542305351439e-05,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,15.530787575726727,15.530787621926773,2.9747394476875048e-09,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,15.530787575726727,15.530787575728658,1.2432723550001426e-13,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,15.530787575726727,15.530787575726725,1.143764816007491e-16,False
golden_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,15.530787575726727,15.530787575726725,1.143764816007491e-16,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,5.936624817300408,5.937472515742637,0.0001427913112781548,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,5.936624817300408,5.936624852710353,5.96465942989158e-09,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,5.936624817300408,5.936624817302444,3.42906112581053e-13,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,5.936624817300408,5.936624817300411,4.488299902893365e-16,False
eccentric_ellipse,closed_form_conic,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,5.936624817300408,5.936624817300411,4.488299902893365e-16,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.5945483522665658,-0.593953785692118,0.0010000306487792801,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.5945483522665658,-0.5945483211942681,5.2262019573890886e-08,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.5945483522665658,-0.5945483522643256,3.767915612831845e-12,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.5945483522665658,-0.5945483522665671,2.2408061925850997e-15,False
three_petal,smooth_nonconvex,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,-0.5945483522665658,-0.5945483522665671,2.2408061925850997e-15,False
four_lobed_wiggle,smooth_multiscale,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.6333008529633329,-0.6326633979262529,0.0010065595744854024,False
four_lobed_wiggle,smooth_multiscale,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.6333008529633329,-0.6333008127983236,6.34216883342755e-08,False
four_lobed_wiggle,smooth_multiscale,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.6333008529633329,-0.633300852959506,6.042844799554514e-12,False
four_lobed_wiggle,smooth_multiscale,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.6333008529633329,-0.6333008529633313,2.629610443670372e-15,False
four_lobed_wiggle,smooth_multiscale,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,-0.6333008529633329,-0.6333008529633313,2.629610443670372e-15,False
asymmetric_limaçon,asymmetric,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.012424451140430509,-0.011878205652996321,0.04396536162926711,False
asymmetric_limaçon,asymmetric,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.012424451140430509,-0.012424425832708827,2.036928746078316e-06,False
asymmetric_limaçon,asymmetric,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.012424451140430509,-0.01242445113880361,1.3094327069196753e-10,False
asymmetric_limaçon,asymmetric,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.012424451140430509,-0.012424451140429067,1.1602566521797893e-13,False
asymmetric_limaçon,asymmetric,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,-0.012424451140430509,-0.012424451140429067,1.1602566521797893e-13,False
crescent_teardrop,near_cusp_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,0.5763722277572366,0.5768380405921085,0.0008081805688044018,False
crescent_teardrop,near_cusp_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,0.5763722277572366,0.5763722379779136,1.773277142654669e-08,False
crescent_teardrop,near_cusp_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,0.5763722277572366,0.5763722277568545,6.630069019163995e-13,False
crescent_teardrop,near_cusp_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,0.5763722277572366,0.5763722277572391,4.237696642115279e-15,False
crescent_teardrop,near_cusp_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,0.5763722277572366,0.5763722277572391,4.237696642115279e-15,False
peanut,pinched_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.012362227103742419,-0.011736319570376224,0.05063064511868691,False
peanut,pinched_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.012362227103742419,-0.01236219544834113,2.560655213998067e-06,False
peanut,pinched_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.012362227103742419,-0.012362227101467239,1.8404289334529114e-10,False
peanut,pinched_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.012362227103742419,-0.012362227103739767,2.1455617766199902e-13,False
peanut,pinched_smooth,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,-0.012362227103742419,-0.012362227103739767,2.1455617766199902e-13,False
high_frequency_gear,smooth_high_frequency,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,-0.42488569799803544,-0.4243081766576698,0.0013592393038570109,False
high_frequency_gear,smooth_high_frequency,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,-0.42488569799803544,-0.4248856617366354,8.534389418181017e-08,False
high_frequency_gear,smooth_high_frequency,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,-0.42488569799803544,-0.42488569799349446,1.0687530141792583e-11,False
high_frequency_gear,smooth_high_frequency,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,-0.42488569799803544,-0.42488569799802867,1.5939252561626043e-14,False
high_frequency_gear,smooth_high_frequency,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,-0.42488569799803544,-0.42488569799802867,1.5939252561626043e-14,False
rotated_mixed,complex_coefficients,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,0,0.5190735530573336,0.5195005876439901,0.0008226860801157527,False
rotated_mixed,complex_coefficients,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,1,0.5190735530573336,0.5190735542400672,2.2785471746273503e-09,False
rotated_mixed,complex_coefficients,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,2,0.5190735530573336,0.5190735530550199,4.457373660613506e-12,False
rotated_mixed,complex_coefficients,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,4,0.5190735530573336,0.5190735530573404,1.3047015033465638e-14,False
rotated_mixed,complex_coefficients,2048,32768,0.001,1.4901161193847656e-08,7.11178171312269e-05,8,0.5190735530573336,0.5190735530573404,1.3047015033465638e-14,False
